EventName,Country,Location
Pre-Season Testing,Bahrain,Bahrain
Pre-Season Testing,Bahrain,Bahrain
Australian Grand Prix,Australia,Melbourne
Chinese Grand Prix,China,Shanghai
Japanese Grand Prix,Japan,Suzuka
Miami Grand Prix,United States,Miami Gardens
Canadian Grand Prix,Canada,Montréal
Monaco Grand Prix,Monaco,Monte Carlo
Barcelona Grand Prix,Spain,Barcelona
Austrian Grand Prix,Austria,Spielberg
British Grand Prix,United Kingdom,Silverstone
Belgian Grand Prix,Belgium,Spa-Francorchamps
Hungarian Grand Prix,Hungary,Budapest
Dutch Grand Prix,Netherlands,Zandvoort
Italian Grand Prix,Italy,Monza
Spanish Grand Prix,Spain,Madrid
Azerbaijan Grand Prix,Azerbaijan,Baku
Singapore Grand Prix,Singapore,Marina Bay
United States Grand Prix,United States,Austin
Mexico City Grand Prix,Mexico,Mexico City
São Paulo Grand Prix,Brazil,São Paulo
Las Vegas Grand Prix,United States,Las Vegas
Qatar Grand Prix,Qatar,Lusail
Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina
